release_year,metascore,price_usd,hours_gameplay,marketing_score,social_hype,discount_pct,bugs_reported,rating_count,rating
2019,88.2,35.41,46.27,4.72,24.61,21.9,8,1180,64.05
2017,79.72,39.21,79.8,7.58,14.12,6.01,6,1225,63.09
2021,92.89,33.56,61.25,7.09,48.61,40.42,2,1826,76.85
2019,69.04,46.47,20.24,8.48,1.48,0.47,10,846,50.0
2023,64.8,64.5,44.83,2.0,45.4,28.52,2,1208,51.76
2021,59.99,48.88,22.71,6.04,14.23,11.57,4,1227,50.0
2016,89.46,41.97,25.54,14.51,24.15,37.64,9,1961,67.03
2018,81.89,41.5,30.02,15.79,33.41,58.77,9,2169,64.49
2023,75.5,26.24,15.8,4.08,28.11,27.86,7,961,56.41
2016,78.52,55.6,21.89,12.84,20.61,49.05,6,1758,58.87
2024,65.87,44.07,74.13,4.68,18.51,30.47,4,1043,54.32
2023,98.0,42.83,25.46,5.9,24.59,29.75,4,935,73.35
2024,77.16,80.0,55.58,6.09,43.83,55.83,11,2007,58.96
2019,76.98,48.59,40.06,7.89,34.91,53.4,8,1678,60.53
2016,82.53,35.98,48.31,13.47,11.8,47.15,5,1659,65.12
2018,80.33,39.88,49.33,8.66,55.48,17.78,2,2192,64.73
2021,78.01,58.78,21.34,6.85,7.68,32.7,4,846,56.55
2022,68.89,46.36,55.42,13.2,48.4,13.43,5,2437,57.95
2017,80.24,27.74,17.77,4.56,36.77,26.64,9,1536,59.64
2015,92.94,56.03,24.88,7.05,8.13,29.05,9,872,64.42
2018,88.11,36.98,48.98,13.43,45.55,49.9,5,2553,72.56
2016,90.34,67.48,20.55,10.15,37.4,53.76,8,1821,69.73
2022,71.4,57.96,10.46,5.59,34.04,24.88,5,1417,50.0
2018,67.09,39.63,43.78,2.98,14.68,1.06,8,505,50.0
2016,74.87,60.37,14.12,8.9,26.73,51.71,1,1733,59.42
2020,76.5,45.81,51.27,2.87,16.05,10.46,5,523,50.54
2020,85.85,55.23,31.18,6.5,30.51,37.31,6,1322,62.33
2024,60.77,50.82,43.46,14.99,10.39,1.5,4,1627,50.0
2018,89.77,34.84,43.06,10.57,58.56,23.97,6,2405,70.84
2020,74.58,37.28,53.15,2.19,28.28,59.16,8,1045,56.51
2016,72.16,57.36,49.69,8.33,21.35,6.04,6,1268,54.73
2024,66.89,40.98,20.44,6.1,35.6,25.42,8,1720,50.0
2016,61.11,40.16,32.19,3.44,57.35,18.43,8,1613,50.0
2024,83.41,33.54,43.44,9.03,16.4,54.31,10,1299,60.41
2018,76.66,50.08,71.47,5.5,41.38,52.16,6,1417,63.07
2022,64.39,69.75,49.91,5.52,29.33,14.26,7,1334,50.0
2021,64.34,32.19,68.45,7.96,24.21,4.87,6,1359,50.0
2023,72.98,45.29,44.58,5.08,2.71,37.63,11,522,50.0
2022,91.02,61.95,61.78,7.83,33.07,20.18,8,1784,62.93
2019,73.66,44.04,41.65,5.18,40.27,40.33,9,1381,55.19
2016,62.47,50.43,60.54,5.35,49.03,1.93,4,1839,54.76
2019,73.79,32.25,30.34,13.41,40.97,8.0,6,2160,56.78
2022,73.55,50.14,75.49,14.25,23.17,41.18,10,1953,56.98
2024,51.73,42.75,47.1,2.65,13.82,12.74,3,382,50.0
2023,75.51,56.83,15.87,11.57,3.14,51.46,8,1058,52.71
2023,73.92,59.25,44.17,17.1,42.13,3.52,3,2663,62.35
2015,82.27,76.07,50.0,18.81,33.24,12.93,4,2945,62.26
2023,92.64,51.96,56.36,10.1,26.14,59.91,4,1631,72.36
2021,86.14,48.91,88.26,3.92,13.6,25.98,4,1010,67.53
2023,73.58,47.33,27.81,10.78,5.86,42.18,6,1210,50.0
2022,66.04,40.76,88.55,4.39,60.14,10.96,4,1851,59.92
2015,98.0,49.06,36.74,6.01,54.26,36.59,8,2205,73.94
2022,76.53,41.46,24.21,9.3,62.98,43.57,11,2537,59.7
2022,76.13,47.02,28.14,4.56,58.44,18.87,2,1778,61.19
2025,75.78,60.81,48.54,3.71,26.24,49.73,4,1094,54.63
2017,77.78,32.92,22.27,9.77,13.72,36.21,6,1219,59.07
2015,74.7,58.68,30.62,22.65,21.21,23.35,12,2324,51.39
2022,70.84,60.81,43.62,15.58,14.38,33.46,3,2008,57.52
2017,71.08,43.58,75.2,11.29,16.5,34.61,7,1682,58.25
2017,75.71,19.54,55.57,13.3,35.07,9.93,11,2471,59.38
2015,71.11,37.71,37.51,10.83,12.37,24.16,7,1414,57.06
2025,69.58,60.56,48.43,9.68,30.01,20.61,6,1625,52.93
2019,76.96,44.73,41.48,12.67,8.82,24.05,4,1574,57.99
2024,73.71,33.01,18.75,3.25,28.14,45.67,4,1165,57.44
2021,89.54,38.94,81.6,8.33,26.28,28.95,8,1743,68.71
2024,52.14,55.09,75.79,7.04,57.17,56.42,5,2090,50.83
2023,85.82,51.56,35.27,7.75,9.79,17.62,4,951,58.84
2021,87.21,42.13,28.68,5.6,18.09,24.94,2,856,65.74
2023,57.34,40.6,19.0,10.1,19.19,47.22,5,1536,50.18
2022,72.92,40.3,49.93,4.52,43.79,32.76,5,1246,56.87
2016,72.66,33.93,50.09,5.36,27.66,32.82,5,1341,59.54
2015,63.33,64.38,23.32,4.99,36.01,3.2,7,1480,50.0
2021,69.0,41.13,41.73,12.41,29.82,23.92,0,2030,62.72
2021,66.0,59.61,54.73,7.34,11.03,16.24,3,998,50.0
2022,91.77,63.26,27.64,5.6,15.19,59.96,6,1188,64.43
2019,84.42,56.98,33.03,5.91,39.03,18.5,3,1694,65.06
2017,87.44,39.82,32.86,7.41,33.11,53.07,9,1422,60.27
2022,82.5,49.84,24.15,19.56,20.09,40.57,3,2254,65.75
2020,65.84,44.71,33.38,3.52,4.9,20.45,4,298,50.0
2025,71.28,34.16,14.29,11.08,12.33,32.61,11,1460,52.85
2017,80.4,48.89,31.98,9.81,33.49,50.43,1,1589,67.17
2015,65.0,30.85,32.23,4.35,13.97,53.0,10,958,50.0
2017,82.42,59.25,35.5,17.82,57.91,9.62,4,3378,70.78
2019,73.84,39.42,46.63,10.21,74.19,20.37,10,2667,55.9
2017,72.63,47.41,18.12,5.45,22.98,20.11,2,1059,55.46
2015,82.4,48.4,20.11,2.42,41.54,2.52,5,1272,64.95
2019,80.0,41.89,23.81,8.48,33.25,35.89,5,1796,61.98
2024,72.75,52.04,17.03,7.19,42.65,51.29,8,2039,57.93
2021,86.43,39.3,49.28,3.98,66.09,22.89,4,1727,71.04
2021,66.27,55.46,27.0,3.95,29.31,44.4,2,1051,50.0
2025,81.54,28.85,36.07,12.44,1.33,37.66,6,1167,61.52
2023,81.34,46.52,22.7,2.29,33.71,22.54,7,808,57.07
2024,73.21,68.27,30.2,8.92,51.7,8.46,6,2053,55.55
2024,78.94,33.0,42.74,6.6,5.72,42.56,7,847,55.96
2017,64.74,36.87,43.78,9.96,60.69,51.27,3,2413,56.94
2021,84.32,51.17,20.61,6.19,64.36,41.15,5,1919,64.81
2015,74.34,47.15,35.14,8.81,44.02,1.07,10,2455,54.05
2018,71.3,49.21,22.92,4.73,7.91,12.97,5,695,52.69
2018,85.44,50.87,34.48,7.17,26.41,4.17,8,1362,63.12
2019,69.66,52.62,25.79,9.91,14.51,34.22,6,1106,53.83
2021,63.32,58.32,84.14,8.09,34.46,45.39,8,1677,52.29
2021,61.99,49.92,54.57,9.28,12.06,6.63,6,1154,50.0
2025,81.45,42.1,44.74,4.23,51.78,50.3,5,1357,63.34
2018,64.48,53.07,31.58,5.18,22.91,33.33,5,872,50.0
2021,91.79,67.8,55.35,5.24,21.15,41.4,5,1169,65.83
2025,57.26,43.41,35.67,6.26,19.63,58.28,5,1435,50.0
2017,91.27,33.31,79.93,16.7,18.24,5.02,8,2108,70.33
2020,77.9,58.28,58.07,5.97,25.23,54.07,7,1397,60.0
2016,75.13,43.56,30.09,3.72,4.07,7.57,4,427,55.27
2024,71.1,18.93,75.47,10.23,35.78,23.58,3,1850,60.22
2023,79.59,55.17,31.67,16.58,15.55,51.09,3,2160,66.63
2019,75.66,38.58,86.55,3.47,42.36,54.38,7,1688,60.39
2020,85.93,43.91,77.45,24.14,44.69,30.38,2,3644,75.29
2018,77.03,48.98,42.62,9.48,44.49,35.65,9,1821,58.42
2025,77.35,47.29,14.62,13.74,34.95,42.49,6,2167,62.91
2024,72.73,53.51,40.98,17.82,31.6,49.97,9,2533,57.77
2021,75.49,39.77,19.41,13.24,49.76,7.29,10,2456,55.44
2023,78.77,51.16,26.22,6.91,35.3,48.6,4,1609,62.6
2021,60.61,41.89,27.28,15.34,34.85,28.88,5,2477,51.84
2015,63.87,53.87,19.32,8.61,39.84,27.04,7,1994,50.0
2015,82.69,52.38,41.05,14.21,59.25,25.43,4,3135,66.71
2023,77.54,33.77,24.57,15.18,65.36,30.55,5,3017,65.78
2025,74.34,58.03,32.43,3.84,6.8,56.7,7,289,51.39
2023,76.17,38.57,27.41,11.9,44.72,32.89,7,2313,60.11
2018,79.13,54.7,46.73,6.63,11.59,57.19,5,1258,61.99
2023,71.14,49.41,45.06,8.03,28.14,10.82,10,1380,50.0
2017,69.0,67.06,31.08,7.97,11.96,43.45,6,1180,51.38
2021,77.76,42.32,47.89,7.78,19.89,48.73,7,1362,58.57
2020,67.19,40.81,65.59,18.43,7.04,40.75,6,1962,58.97
2022,79.67,44.77,9.46,3.25,45.52,36.42,7,1448,58.62
2025,60.68,41.36,26.57,2.63,37.96,33.89,8,1033,50.0
2023,85.26,54.6,21.5,2.32,66.18,51.66,5,1464,66.25
2019,80.25,25.6,25.31,14.03,44.06,49.3,5,2235,65.81
2015,78.3,32.36,8.34,4.65,6.95,7.34,5,545,52.42
2017,84.84,32.19,9.2,8.0,50.96,50.92,9,2231,61.29
2024,90.99,56.4,5.21,6.9,14.93,24.84,3,1010,63.11
2022,85.13,65.53,27.91,4.34,31.47,15.22,2,1106,61.21
2025,59.43,43.75,27.48,12.32,10.39,52.19,7,1269,50.0
2020,64.48,42.97,70.19,6.85,59.29,25.92,3,2251,56.81
2022,70.38,45.84,39.44,6.41,14.93,48.5,3,1226,56.97
2023,76.23,58.94,9.13,8.5,17.3,15.8,5,1431,57.5
2018,80.66,33.87,47.29,11.39,53.98,0.24,5,2540,65.17
2015,69.47,47.86,120.0,4.16,20.64,29.73,2,645,62.57
2015,77.68,56.7,9.49,12.48,55.49,6.01,7,2509,55.53
2024,69.2,51.01,80.6,17.64,26.47,45.26,5,2688,60.09
2018,70.5,47.27,35.8,3.14,20.75,16.56,12,1019,50.0
2021,63.34,57.01,29.13,8.73,5.37,26.62,5,687,50.0
2016,67.69,12.56,26.8,6.15,44.52,5.22,6,1688,50.0
2017,63.83,53.13,43.35,11.24,61.85,17.2,10,2679,50.0
2015,67.22,37.15,29.26,3.56,30.8,46.89,1,971,55.99
2019,85.48,23.03,19.01,19.64,62.02,9.1,11,3000,67.95
2015,67.46,51.13,27.34,2.82,15.91,38.83,6,683,50.0
2022,98.0,61.48,43.97,6.38,36.46,55.05,5,1376,70.24
2015,80.44,43.35,51.42,9.59,19.77,40.79,7,1264,57.29
2025,77.66,56.43,84.68,4.89,56.61,48.66,7,1816,65.94
2015,68.27,64.35,38.58,4.45,21.27,6.54,5,931,50.0
2016,82.3,60.78,67.5,8.44,31.77,15.04,8,1595,57.45
2016,70.82,64.68,33.06,7.74,45.41,53.67,6,1712,58.35
2020,77.1,53.91,35.45,7.42,54.53,42.91,5,2028,64.02
2021,98.0,45.91,34.49,12.37,60.97,38.37,7,2383,77.97
2019,75.14,25.78,40.93,5.83,5.41,39.83,3,745,56.85
2015,86.34,42.05,55.95,8.95,45.88,24.85,6,1483,62.34
2015,69.67,34.88,28.62,5.45,27.97,2.67,5,1165,52.34
2017,75.69,71.05,22.14,4.44,30.73,47.07,14,1355,50.0
2016,91.94,42.89,58.17,6.23,32.62,40.72,5,1217,70.77
2019,70.36,46.48,56.13,5.48,10.72,28.37,13,917,50.0
2024,92.31,51.62,72.71,5.64,37.71,53.99,6,1687,67.95
2020,82.37,45.52,26.27,14.87,16.41,20.17,2,1227,64.91
2021,70.94,65.34,32.44,6.34,9.33,17.66,4,809,50.0
2018,81.69,37.53,59.25,4.96,42.92,52.37,4,1027,67.07
2021,84.75,47.34,28.44,7.51,43.91,47.82,5,1790,65.06
2025,81.6,36.09,50.35,7.87,49.07,30.9,3,1973,65.91
2022,61.87,29.16,33.14,3.63,23.38,7.84,10,482,50.0
2025,69.46,37.66,43.23,6.18,58.74,12.9,5,2402,54.88
2015,73.77,44.56,18.79,6.03,27.35,39.37,4,1308,57.12
2020,75.33,39.85,38.32,6.66,53.38,23.1,6,1815,57.36
2022,81.59,36.69,5.0,11.42,49.78,50.19,8,2593,65.53
2019,77.6,28.12,64.95,8.02,19.64,57.0,6,930,62.23
2018,63.98,44.0,53.66,15.44,20.7,48.34,7,1763,55.08
2016,79.42,26.94,21.33,7.34,30.93,22.65,3,1056,62.31
2020,81.5,54.12,81.34,21.45,64.65,47.32,10,3978,70.19
2020,81.04,45.99,62.99,5.6,22.02,21.09,7,1143,62.27
2025,85.73,27.51,19.3,4.66,32.83,10.03,10,1382,57.78
2015,83.51,41.29,27.44,10.26,33.25,2.0,3,1860,61.46
2023,80.13,35.97,19.93,16.75,21.43,23.14,3,2230,65.07
2025,75.37,48.83,43.84,3.23,57.3,54.21,5,1753,58.26
2020,61.05,61.09,26.79,6.57,20.52,14.34,8,1185,50.0
2017,79.87,22.5,10.89,5.12,34.14,12.39,4,1359,64.35
2018,77.87,46.38,35.37,8.05,36.97,58.19,11,1579,60.82
2025,78.44,43.08,57.03,7.43,44.57,1.5,4,1812,62.18
2018,64.51,53.06,38.73,16.56,32.98,47.15,11,2447,50.2
2017,66.27,47.56,48.09,6.92,16.97,19.28,2,1102,52.04
2024,85.48,35.98,40.63,16.86,56.34,2.25,4,2744,71.74
2017,75.64,41.17,52.56,6.12,1.02,55.07,3,364,55.48
2017,82.13,35.45,42.48,12.88,24.98,8.38,2,2043,61.09
2018,76.25,57.91,34.37,8.48,28.2,33.11,8,1455,52.94
2021,76.27,45.26,38.48,20.86,40.26,16.44,3,3094,62.12
2018,84.44,67.81,74.04,3.05,19.54,3.91,11,581,56.75
2023,71.36,44.27,49.45,3.68,39.93,3.0,4,1082,58.55
2015,76.87,36.5,21.29,22.18,32.1,6.93,6,2757,57.68
2022,71.84,26.84,38.17,4.76,39.95,4.28,3,1411,60.62
2021,72.09,23.36,43.45,4.94,44.88,45.63,7,1472,59.62
2016,73.22,25.99,33.77,4.37,37.86,29.13,3,1595,57.07
2022,78.0,48.21,10.92,14.72,46.51,20.57,3,2593,62.84
2015,71.69,51.1,22.54,3.48,34.55,25.1,5,1527,53.21
2025,87.3,26.03,29.3,7.49,16.46,55.74,13,1196,61.17
2023,67.95,55.74,85.99,6.3,13.66,54.65,6,506,50.0
2023,74.32,39.2,46.78,13.76,36.72,42.94,5,2415,62.13
2016,72.04,46.76,14.3,5.27,14.67,53.08,7,595,50.0
2021,89.02,64.35,34.9,9.48,3.96,19.18,13,1041,55.77
2024,77.77,55.76,68.36,3.66,59.68,22.87,6,1700,60.23
2017,85.29,41.78,26.59,28.92,64.3,36.82,6,4740,74.17
2021,62.63,34.31,60.36,6.4,14.53,37.42,2,1230,53.3
2024,78.4,19.18,14.59,7.43,21.52,28.9,7,1110,62.03
2023,84.01,36.37,5.0,19.94,16.81,24.04,3,2292,65.54
2018,76.74,42.47,64.79,5.2,35.87,59.17,5,1434,60.08
2015,85.59,33.15,28.49,20.09,16.12,49.27,9,2467,66.55
2016,71.34,43.42,11.25,5.77,19.81,26.1,5,1049,52.01
2015,88.68,45.92,29.72,11.06,42.31,43.64,6,1924,64.9
2019,96.69,42.3,40.44,5.24,10.17,16.17,3,623,74.87
2019,72.73,37.2,45.96,3.28,30.4,6.01,6,1070,52.97
2025,71.99,47.02,6.68,9.48,9.32,21.15,7,1355,50.0
2021,89.08,50.3,25.45,10.85,13.77,24.18,5,1452,65.33
2023,90.22,31.92,37.81,3.36,8.09,0.99,5,382,66.6
2023,71.29,61.93,45.91,6.15,26.37,48.89,4,1360,52.39
2017,72.22,43.82,21.15,15.19,30.0,21.55,12,2123,50.84
2017,73.46,45.23,32.85,10.59,2.8,34.83,5,1236,59.76
2017,63.9,53.5,26.54,5.83,25.04,4.44,3,1635,50.39
2018,67.73,47.8,41.13,5.16,7.9,10.5,7,623,50.0
2022,66.96,56.44,63.64,23.78,65.39,53.38,0,4038,67.25
2020,69.09,48.45,30.6,3.1,45.1,36.52,3,1288,56.06
2022,75.69,37.65,16.17,7.13,33.2,57.02,12,1487,55.86
2015,78.11,49.34,24.69,3.07,46.02,59.93,4,1447,61.35
2022,89.95,31.28,80.93,16.26,22.14,22.31,8,2064,70.95
2018,67.01,46.3,22.59,7.36,41.97,17.93,7,2192,50.0
2025,84.86,44.6,18.13,8.22,14.23,51.5,6,1082,58.67
2015,74.07,42.5,29.6,38.91,25.62,59.92,8,4443,64.28
2022,75.55,43.46,34.91,5.18,12.76,37.78,7,463,56.09
2018,82.07,22.42,27.44,21.1,75.35,47.71,5,3966,74.52
2020,65.9,38.42,14.64,5.84,3.83,46.9,5,856,50.07
2022,79.44,46.11,43.18,6.42,8.39,21.32,4,725,58.81
2018,77.5,46.92,41.15,35.98,14.73,34.46,7,3334,65.72
2017,80.43,32.67,51.6,6.71,52.23,49.98,3,1936,67.08
2023,78.6,60.19,40.68,3.24,24.07,41.29,6,913,58.37
2017,98.0,34.61,77.63,8.75,16.31,1.27,3,1369,73.16
2023,70.26,56.63,53.6,6.66,39.37,20.2,6,1979,59.4
2016,71.22,50.13,48.31,9.21,73.14,8.67,6,2635,56.75
2016,70.39,37.25,64.79,6.82,19.8,13.98,4,989,52.97
2016,71.0,66.3,39.42,27.92,42.43,54.33,4,3503,64.18
2020,70.26,30.68,33.22,10.32,45.31,2.21,13,2149,50.0
2017,86.7,56.03,42.93,3.88,16.14,13.19,9,858,58.29
2023,88.78,57.01,10.56,7.96,8.4,18.57,9,868,57.81
2018,70.86,36.95,39.49,4.57,17.32,37.01,2,1008,54.83
2015,68.51,61.71,34.89,6.37,34.88,32.05,6,1561,55.33
2018,80.24,42.0,45.3,4.28,26.93,13.1,2,1088,64.34
2015,71.03,48.46,60.45,26.16,21.91,9.85,3,2871,64.0
2019,81.7,48.12,49.01,4.88,13.84,14.21,10,723,52.69
2018,77.83,43.39,24.73,11.16,14.65,30.15,7,989,56.11
2022,62.36,54.73,55.61,6.09,34.11,16.27,3,1473,51.4
2022,89.93,54.52,78.19,3.69,22.66,56.86,7,922,68.99
2021,92.16,24.02,61.23,8.32,24.81,27.83,6,1445,73.06
2017,70.48,60.65,17.06,9.4,1.13,3.53,9,1012,50.0
2015,72.51,25.05,48.76,10.33,17.96,43.76,7,1500,53.63
2015,78.57,57.39,18.62,2.0,51.85,19.73,5,1466,62.27
2025,79.01,58.52,31.51,3.52,49.39,39.21,9,1578,58.05
2017,81.93,31.91,44.63,13.13,46.79,16.78,3,2164,66.31
2020,94.09,40.07,41.7,4.25,44.45,34.24,3,1409,74.2
2021,74.41,31.73,60.64,8.35,27.93,46.33,6,1500,56.39
2020,68.82,42.42,78.38,3.47,45.97,55.68,8,1347,57.24
2020,63.59,41.3,46.9,11.46,16.76,15.67,5,1663,50.0
2020,69.42,54.36,30.23,12.92,49.03,20.09,6,2335,54.49
2017,75.7,60.72,10.91,11.46,19.05,27.86,9,1604,52.35
2020,92.15,61.75,68.15,13.73,42.83,55.63,6,2396,75.46
2022,71.34,38.25,34.98,18.88,38.42,54.08,6,2889,61.43
2025,78.01,42.49,35.95,3.65,24.7,5.39,5,1127,58.55
2025,75.85,24.8,37.46,4.6,2.76,7.92,8,631,52.12
2016,86.7,35.33,45.82,12.66,57.03,29.73,5,2249,69.97
2019,98.0,56.58,46.5,14.56,36.29,6.4,4,2505,75.56
2015,71.22,64.39,31.78,4.93,27.2,20.73,10,1423,50.0
2015,71.6,30.19,34.8,4.73,32.06,8.9,4,1164,51.73
2019,85.4,37.89,26.29,5.0,6.85,38.16,7,688,58.18
2017,82.14,44.68,24.72,2.82,14.52,56.97,11,471,54.57
2018,92.62,48.36,24.65,3.45,48.91,59.8,8,1199,66.56
2017,81.26,35.28,34.59,3.5,57.08,22.51,10,1626,58.43
2015,72.77,50.09,22.04,6.19,12.21,35.94,7,796,50.16
2015,81.32,39.31,5.0,8.69,31.99,51.38,7,1562,58.61
2019,85.98,44.83,29.95,9.58,28.65,7.05,12,1454,55.39
2020,83.38,51.56,17.71,5.45,42.54,41.37,11,1449,56.44
2017,80.57,45.08,38.8,5.53,21.11,24.53,5,1051,59.54
2023,85.6,39.76,26.24,7.96,41.16,12.37,6,1646,64.39
2019,86.52,43.68,46.11,3.01,44.92,24.17,5,1507,65.75
2022,88.44,43.94,18.71,13.14,26.79,4.56,7,2041,61.73
2015,81.84,40.56,12.31,15.98,41.77,41.72,6,2991,63.33
2019,74.5,41.89,34.85,5.08,15.01,15.16,4,1060,61.55
2017,77.32,64.18,29.26,5.82,47.18,18.68,7,1776,53.91
2015,86.86,51.73,16.79,15.58,8.88,7.26,4,1590,62.05
2018,68.65,41.45,53.62,6.86,46.79,51.88,6,1875,58.17
2019,79.32,53.36,20.63,10.52,46.89,29.61,9,2230,59.12
2021,72.46,40.99,24.06,6.99,34.84,34.33,3,1443,59.22
2015,76.26,59.08,58.69,18.8,26.41,34.17,8,2587,58.46
2017,87.51,49.44,47.45,9.91,18.39,24.63,6,1150,63.92
2016,77.72,43.71,19.33,10.26,41.07,11.55,7,1958,57.87
2023,76.42,50.37,30.69,10.38,5.96,44.71,5,1235,56.58
2024,63.76,26.15,18.19,5.3,18.16,7.62,6,905,50.0
2020,82.72,31.48,56.58,5.6,37.46,6.23,4,1431,66.86
2024,81.81,30.67,56.56,11.72,19.14,42.61,10,1567,60.24
2017,95.47,46.72,84.04,7.97,21.21,12.53,8,1137,68.02
2022,73.23,65.79,100.01,3.65,29.4,18.41,6,1293,58.26
2022,77.97,71.78,26.07,22.73,27.75,28.51,8,2670,59.98
2016,78.24,52.66,52.08,13.29,8.59,26.96,4,1534,63.76
2020,90.2,51.01,11.14,7.56,23.37,42.51,2,1377,65.12
2021,75.14,23.39,40.33,6.27,33.19,37.41,4,1255,62.6
2016,78.51,38.49,45.43,8.32,43.1,38.66,11,1881,58.95
2025,81.47,35.55,21.29,10.08,54.05,42.84,6,2145,62.85
2024,77.68,37.55,25.17,2.18,36.25,17.56,10,1364,54.49
2016,71.98,42.98,56.75,26.24,3.05,19.34,8,2364,57.73
2024,77.75,39.33,46.0,4.6,68.1,26.28,5,2022,61.55
2015,85.66,21.25,78.75,7.38,37.59,18.45,6,1421,68.16
2022,66.76,53.97,74.25,7.55,21.2,59.1,4,1002,56.4
2015,77.2,32.13,13.21,24.49,23.84,48.84,8,3209,60.35
2023,69.7,47.87,27.51,7.01,34.56,9.88,3,1628,54.7
2025,86.76,69.89,20.01,19.17,13.65,0.34,1,2187,67.01
2020,62.29,33.97,53.17,9.43,12.16,2.57,3,1082,50.0
2021,70.97,14.64,42.37,4.15,26.01,14.64,5,1208,54.05
2024,79.39,41.57,20.82,8.01,68.53,6.86,5,2326,62.53
2021,90.09,58.21,22.72,6.88,40.37,32.0,9,1806,65.36
2024,75.41,68.5,66.18,3.86,12.59,51.48,5,524,56.72
2017,71.0,30.25,29.23,9.16,1.37,44.21,7,788,50.0
2016,92.93,50.96,9.95,7.49,11.7,12.94,5,1140,66.34
2023,62.97,39.42,19.75,10.32,33.28,23.96,5,1968,50.0
2022,56.21,43.73,86.8,8.3,20.76,30.47,9,1415,50.0
2024,79.96,76.73,59.54,5.0,45.95,48.61,7,1435,58.47
2021,71.48,26.96,17.5,11.72,14.15,50.35,5,1386,58.85
2023,66.81,48.04,40.32,5.08,25.41,54.58,8,1146,51.27
2018,82.38,50.61,57.72,2.0,50.68,30.55,12,1304,56.76
2018,78.19,58.03,13.1,7.98,13.77,41.66,5,1349,56.47
2015,70.92,46.18,60.91,5.3,17.97,6.71,3,520,52.44
2022,64.48,48.7,45.78,9.29,24.64,33.92,4,1359,51.99
2017,83.85,40.3,24.34,24.52,31.66,14.92,10,3029,60.34
2021,81.85,48.23,49.47,24.94,26.35,25.9,6,2517,63.88
2016,75.11,40.88,42.68,6.69,6.23,38.04,7,540,52.79
2016,92.62,52.46,44.17,4.5,13.43,15.42,4,876,63.64
2021,66.37,40.56,39.58,10.49,21.98,3.13,8,1552,50.0
2020,62.27,49.53,22.25,5.92,20.66,0.61,5,1362,50.0
2017,69.77,44.65,24.65,9.35,48.81,1.33,2,2386,58.56
2023,75.59,58.51,32.29,4.97,57.59,0.5,3,1990,58.95
2024,78.19,44.38,37.55,8.59,50.99,6.62,3,2147,61.35
2020,73.83,23.72,50.94,4.54,12.31,14.37,6,751,58.1
2024,79.17,60.14,87.81,15.04,53.41,13.27,2,2286,65.28
2024,64.74,34.13,41.28,5.19,30.0,59.21,5,992,52.99
